pl_radj,pl_massj,stellar_compatibility,orbital_stability,star_A,star_B,star_F,star_G,star_K,star_M,star_Unknown,radius_earth_scaled,mass_earth_scaled,orbital_period_scaled,semimajor_axis_scaled,eq_temp_k_scaled,density_scaled,star_temp_k_scaled,star_luminosity_scaled,star_metallicity_scaled
0.11776272,,1.0,0.6487272260201625,0,0,0,1,0,0,0,-0.8870967741935482,0.0,-0.0213437883567576,-0.0814826849294525,-0.093484419263456,0.0,-0.0667213563029805,0.0,-0.8571428571428573
0.0704792,,1.0,1.7525851926899108,0,0,0,1,0,0,0,-1.3145161290322578,0.0,0.5834519720088128,0.3059349888148768,-1.1246458923512748,0.0,-1.0062893081761006,0.0,0.1904761904761905
,2.49,1.0,2.863349291938757,0,0,0,1,0,0,0,0.0,595.34217843,0.0,6.929527475411475,0.0,0.0,0.0,0.0,0.0
0.12757627,,1.0,0.3249029579671902,0,0,0,1,0,0,0,-0.7983870967741934,0.0,-0.1696526615796893,-0.1939587837584513,0.5694050991501416,0.0,0.425485370522286,0.0,0.0
0.23210674,,1.0,0.888490735942013,0,0,0,1,0,0,0,0.146516129032258,0.0,0.0885132221475463,0.0,-0.4674220963172804,0.0,-0.6074924801750065,0.0,0.0
,1.56,1.0,8.85200691060029,0,0,0,1,0,0,0,0.0,299.76175992000003,70.69088357499075,15.577689740930053,0.0,0.0,0.1750068362045392,0.0,-0.4761904761904761
0.28905394,,1.0,0.2248753501834055,0,0,0,1,0,0,0,0.6612903225806452,0.0,-0.2201878242252345,-0.2299511353837309,1.801699716713881,0.0,0.3565764287667487,0.0,2.380952380952381
0.19680648,0.0139698,1.0,0.94973556593689,0,0,0,1,0,0,0,-0.1725806451612902,-191.610555,0.1369565596285891,0.0,0.0,0.930583,0.2745419742958709,0.0,0.0
0.05058444,0.0053488,1.0,0.3879287014443153,0,0,0,1,0,0,0,-1.4943548387096772,-194.350555,-0.1314965600010462,-0.1838609295524701,-0.0963172804532577,50.67,-0.7306535411539513,0.0,0.6190476190476191
0.1088413,,1.0,0.2245023816571553,0,0,0,1,0,0,0,-0.9677419354838708,0.0,-0.2069496835620756,-0.2549458240123973,0.6657223796033994,0.0,0.0568772217664752,0.0,-0.6666666666666667
,,1.0,0.3517042102864404,0,0,0,1,0,0,0,0.0,0.0,-0.075517593700452,-0.2789407250959171,-1.3626062322946175,0.0,-2.67760459392945,-1.85919,0.0
0.28467153,,1.0,0.9002073757100737,0,0,0,1,0,0,0,0.6216755403225805,0.0,0.0975527844271875,0.0,-0.5145042492917847,0.0,-0.4761607875307628,0.0,0.0
1.099,3.88,1.0,0.4643263583729529,0,0,0,1,0,0,0,7.982798217741934,1037.12366416,-0.1196484982675146,-0.1214741867353187,1.0963172804532575,2.3,0.5720535958435876,0.36293,0.9285714285714284
0.08207704,,1.0,1.1445992369951408,0,0,0,1,0,0,0,-1.2096774193548383,0.0,0.1693082822015163,0.1394703625479585,0.0538243626062322,0.0,0.3171998906207274,0.0,1.238095238095238
